Player,Nation,Pos,Squad,Comp,Age,SimilarityScore
Aleksandar Radovanović,SRB,DF,Lens,Ligue 1,26,30.52322906
Mitchel Bakker,NED,DF,Paris S-G,Ligue 1,20,30.49759573
Adrián Marín,ESP,DFFW,Granada,La Liga,23,30.48454704
Márton Dárdai,GER,DFMF,Hertha BSC,Bundesliga,18,30.42121372
Jeroen Zoet,NED,GK,Spezia,Seria A,29,30.42096796
Josep Martinez,ESP,GK,RB Leipzig,Bundesliga,22,30.34935966
Ivan Provedel,ITA,GK,Spezia,Seria A,26,30.32517169
Federico Ceccherini,ITA,DF,Hellas Verona,Seria A,28,30.31819534
Jonas Michelbrink,GER,MF,Hertha BSC,Bundesliga,19,30.31397773
Carney Chukwuemeka,ENG,FWMF,Aston Villa,Premier League,16,30.30339104
Abdou Diallo,SEN,DF,Paris S-G,Ligue 1,24,30.29691542
Vasilios Zagaritis,GRE,DF,Parma,Seria A,19,30.27086262
Johannes Eggestein,GER,FWMF,Werder Bremen,Bundesliga,22,30.26900474
Mahamadou Doucouré,MLI,FW,Nîmes,Ligue 1,20,30.25294487
Clément Lenglet,FRA,DF,Barcelona,La Liga,25,30.2312527
Federico Santander,PAR,FW,Bologna,Seria A,29,30.22810308
Gerónimo Rulli,ARG,GK,Villarreal,La Liga,28,30.22599553
Billy Gilmour,SCO,MF,Chelsea,Premier League,19,30.22477804
Vincenzo Millico,ITA,FWMF,Torino,Seria A,19,30.2127397
Samuel Moutoussamy,COD,FW,Nantes,Ligue 1,23,30.20691152
Luca Siligardi,ITA,MF,Crotone,Seria A,32,30.206736
Cristian Dell'Orco,ITA,DF,Spezia,Seria A,26,30.20165905
Daan Dierckx,BEL,DF,Parma,Seria A,17,30.13565287
Kiko Olivas,ESP,DFMF,Valladolid,La Liga,31,30.12839132
Jerome Onguene,CMR,DF,Genoa,Seria A,22,30.08697046
Rúnar Alex Rúnarsson,ISL,GK,Arsenal,Premier League,25,30.0841184
Simone Rabbi,ITA,FW,Bologna,Seria A,18,30.08389527
Georginio Rutter,FRA,FW,Hoffenheim,Bundesliga,18,30.03731852
Thiago Alcántara,ESP,MF,Liverpool,Premier League,29,30.01916119
Sergio Ramos,ESP,DF,Real Madrid,La Liga,34,30.01058794
Moise Kean,ITA,FW,Everton,Premier League,20,29.98698907
Mattia Caldara,ITA,DF,Atalanta,Seria A,26,29.97302306
Manuel Sánchez,ESP,DF,Osasuna,La Liga,19,29.94622351
Samuel Di Carmine,ITA,FW,Crotone,Seria A,31,29.93651664
Tiago Dantas,POR,MF,Bayern Munich,Bundesliga,19,29.90914753
Luca Kilian,GER,DF,Mainz 05,Bundesliga,20,29.88212995
Zinédine Ould Khaled,FRA,MF,Angers,Ligue 1,20,29.78994588
Elio Capradossi,ITA,DF,Spezia,Seria A,24,29.78141201
Marek Suchý,CZE,DF,Augsburg,Bundesliga,32,29.77876034
Joscha Wosz,GER,DFFW,RB Leipzig,Bundesliga,18,29.77613155
Álvaro Tejero,ESP,DF,Eibar,La Liga,24,29.77235089
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,30,29.75952734
Islam Slimani,ALG,FW,Leicester City,Premier League,32,29.73712431
Jack O'Connell,ENG,DF,Sheffield Utd,Premier League,26,29.71407182
Angelo da Costa Júnior,BRA,GK,Bologna,Seria A,36,29.69805408
Jean Lucas,BRA,MF,Lyon,Ligue 1,22,29.69742252
Fabio Pisacane,ITA,DF,Cagliari,Seria A,34,29.69488141
Kuki,ESP,MF,Valladolid,La Liga,22,29.6947406
Ahmed Hegazi,EGY,DF,West Brom,Premier League,29,29.68626237
Mateo Pavlović,BIH,DF,Angers,Ligue 1,30,29.64922886
Guillermo Maripán,CHI,DF,Monaco,Ligue 1,26,29.6430437
Roberto Navarro,ESP,MF,Real Sociedad,La Liga,18,29.54368942
Niklas Lomb,GER,GK,Leverkusen,Bundesliga,27,29.54120566
Joe Rodon,WAL,DF,Tottenham,Premier League,22,29.50601444
Jan Morávek,CZE,MF,Augsburg,Bundesliga,30,29.47687259
Issah Abbas,GHA,DFFW,Mainz 05,Bundesliga,21,29.44497396
Santiago Arias,COL,DF,Leverkusen,Bundesliga,28,29.40758114
Justin Kluivert,NED,FW,RB Leipzig,Bundesliga,21,29.33415252
Sergio Arribas,ESP,FWDF,Real Madrid,La Liga,18,29.31550453
Hicham Mahou,FRA,DF,Nice,Ligue 1,21,29.30267544
Oussama Idrissi,MAR,FWMF,Sevilla,La Liga,24,29.19898518
Sami Ben Amar,MAR,MF,Nîmes,Ligue 1,22,29.1939939
Álex Martín,ESP,DF,Cádiz,La Liga,22,29.18690446
Álvaro Bravo,ESP,MF,Granada,La Liga,22,29.17213472
Mattia De Sciglio,ITA,DF,Lyon,Ligue 1,27,29.17081675
Stanislav Lobotka,SVK,MF,Napoli,Seria A,25,29.16207231
Djamel Benlamri,ALG,DF,Lyon,Ligue 1,30,29.1199605
Danilo Pereira,POR,MFDF,Paris S-G,Ligue 1,28,29.06624992
Yann Sommer,SUI,GK,M'Gladbach,Bundesliga,31,28.97258839
Mats Hummels,GER,DF,Dortmund,Bundesliga,31,28.95239765
Clément Vidal,FRA,DF,Montpellier,Ligue 1,20,28.94895004
Francisco Reis Ferreira,POR,DF,Valencia,La Liga,23,28.94106882
Exequiel Palacios,ARG,MF,Leverkusen,Bundesliga,21,28.92161229
Kastriot Dermaku,ALB,DF,Parma,Seria A,28,28.90713397
Junior Firpo,ESP,DF,Barcelona,La Liga,23,28.8741587
Diego Llorente,ESP,DF,Real Sociedad,La Liga,26,28.86300751
Yann Bodiger,FRA,MF,Cádiz,La Liga,25,28.85360445
Paolo Faragò,ITA,DFMF,Cagliari,Seria A,27,28.78821937
Joachim Andersen,DEN,DF,Fulham,Premier League,24,28.76805983
Vasco Regini,ITA,DF,Sampdoria,Seria A,29,28.75604096
Ahmad Ngouyamsa,CMR,DF,Dijon,Ligue 1,19,28.64382297
Musa Juwara,GAM,DF,Bologna,Seria A,18,28.63604481
Thomas Strakosha,ALB,GK,Lazio,Seria A,25,28.61704195
Iliman Ndiaye,FRA,MF,Sheffield Utd,Premier League,21,28.61679679
Sabit Abdulai,GHA,MF,Getafe,La Liga,21,28.59960504
Tyron Tormin,FRA,MFFW,Saint-Étienne,Ligue 1,19,28.56916632
Nano,ESP,FW,Cádiz,La Liga,25,28.40885739
Robert Sánchez,ESP,GK,Brighton,Premier League,22,28.39205002
Marvin,ESP,DFFW,Real Madrid,La Liga,20,28.38369041
Lorenzo Colombo,ITA,FW,Milan,Seria A,18,28.35440558
Hamadi Al Ghaddioui,MAR,FWMF,Stuttgart,Bundesliga,29,28.34746271
Nicolò Armini,ITA,DF,Lazio,Seria A,19,28.30228944
Tim Civeja,GER,MFDF,Augsburg,Bundesliga,18,28.23955337
Caleb Watts,AUS,MFFW,Southampton,Premier League,18,28.22492285
David García,ESP,DF,Osasuna,La Liga,26,28.1387441
Koba Koindredi,FRA,MF,Valencia,La Liga,18,28.12481861
Mikail Maden,NOR,FW,Schalke 04,Bundesliga,18,28.11285442
Neil Taylor,WAL,DF,Aston Villa,Premier League,31,28.1036044
Kevin Vogt,GER,DF,Hoffenheim,Bundesliga,28,28.07663801
Ramon Azeez,NGA,MFDF,Granada,La Liga,27,27.97098501
Giorgio Chiellini,ITA,DF,Juventus,Seria A,35,27.95172174
Dario Maresic,AUT,DF,Reims,Ligue 1,20,27.95157462
Marlon,BRA,DF,Sassuolo,Seria A,24,27.88132835
Mark Flekken,NED,GK,Freiburg,Bundesliga,27,27.87578978
Nehuén Pérez,ARG,DF,Granada,La Liga,20,27.86271838
Terence Kongolo,NED,DF,Fulham,Premier League,26,27.85146086
Elias Bördner,GER,GK,Eint Frankfurt,Bundesliga,18,27.82743942
Jeff Reine-Adélaïde,FRA,FW,Lyon,Ligue 1,22,27.79374127
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,25,27.79056571
Patrick Cutrone,ITA,FW,Valencia,La Liga,22,27.77316773
Mathys Saban,FRA,FW,Saint-Étienne,Ligue 1,18,27.71056993
Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,19,27.68414766
Lennart Grill,GER,GK,Leverkusen,Bundesliga,21,27.67981471
Illan Meslier,FRA,GK,Leeds United,Premier League,20,27.66689485
Gianluigi Buffon,ITA,GK,Juventus,Seria A,42,27.65189705
Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,30,27.61050076
Mahame Siby,MLI,MFFW,Strasbourg,Ligue 1,24,27.59998826
Miguel Ángel Rubio,ESP,DF,Valladolid,La Liga,22,27.59192586
John Stones,ENG,DF,Manchester City,Premier League,26,27.58727253
Robert Snodgrass,SCO,FWDF,West Ham,Premier League,32,27.57927299
Rafael,BRA,GK,Spezia,Seria A,38,27.52641378
Mathew Ryan,AUS,GK,Brighton,Premier League,28,27.51971509
Alfred Duncan,GHA,MF,Fiorentina,Seria A,27,27.47923815
Amir Abrashi,ALB,MFDF,Freiburg,Bundesliga,30,27.47178687
Denis Vavro,SVK,DF,Lazio,Seria A,24,27.46406615
Kevin Long,IRL,DF,Burnley,Premier League,29,27.39641607
Augustus Kargbo,SLE,FW,Crotone,Seria A,20,27.38001859
Batista Mendy,FRA,MF,Nantes,Ligue 1,20,27.33440154
Sead Kolašinac,BIH,DF,Arsenal,Premier League,27,27.31959205
Vitolo,ESP,MFFW,Atlético Madrid,La Liga,30,27.31655415
Drissa Camara,CIV,MF,Parma,Seria A,18,27.3147766
Phil Jagielka,ENG,DF,Sheffield Utd,Premier League,37,27.30343887
Mamadou Coulibaly,SEN,MF,Udinese,Seria A,21,27.20480922
Yoann Etienne,FRA,DF,Lorient,Ligue 1,23,27.20056525
Matteo Scozzarella,ITA,MF,Parma,Seria A,32,27.19968338
Davinson Sánchez,COL,DF,Tottenham,Premier League,24,27.16746606
Manuel Perez,FRA,MF,Lens,Ligue 1,29,27.15400629
Tomás Tavares,POR,MFDF,Alavés,La Liga,19,27.13639249
Andrea Consigli,ITA,GK,Sassuolo,Seria A,33,27.12403894
László Bénes,SVK,MF,M'Gladbach,Bundesliga,22,27.12328012
Virgil van Dijk,NED,DF,Liverpool,Premier League,29,27.08061986
Leif Davis,ENG,DF,Leeds United,Premier League,20,27.02447122
Ronaldo Vieira,GNB,MFDF,Hellas Verona,Seria A,22,26.93745351
Botond Balogh,HUN,DF,Parma,Seria A,18,26.90596741
Fabio Depaoli,ITA,DF,Benevento,Seria A,23,26.90154858
Aleix Vidal,ESP,DF,Sevilla,La Liga,30,26.90093776
Romain Amalfitano,FRA,FWDF,Dijon,Ligue 1,30,26.88384447
Gian Crespi,ITA,GK,Crotone,Seria A,19,26.82917521
Baptiste Gabard,FRA,MF,Saint-Étienne,Ligue 1,20,26.81711197
Unai Dufur,ESP,DF,Eibar,La Liga,21,26.81061826
Rachid Alioui,MAR,FW,Angers,Ligue 1,28,26.76334251
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,30,26.75901694
Nieto,ESP,FWMF,Cádiz,La Liga,22,26.75734849
Maximiliano Olivera,URU,DF,Fiorentina,Seria A,28,26.74802597
Axel Tuanzebe,ENG,DF,Manchester Utd,Premier League,22,26.74050437
Predrag Rajković,SRB,GK,Reims,Ligue 1,24,26.73351448
Mattéo Tramoni,FRA,FWMF,Cagliari,Seria A,20,26.69113082
Chrislain Matsima,FRA,DF,Monaco,Ligue 1,18,26.67317953
Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,25,26.66788425
Frederik Rønnow,DEN,GK,Schalke 04,Bundesliga,27,26.64714252
Alessandro Buongiorno,ITA,DF,Torino,Seria A,21,26.64238962
Matteo Gabbia,ITA,DF,Milan,Seria A,20,26.63454219
Giovanni Crociata,ITA,MFDF,Crotone,Seria A,22,26.63438067
Maximilian Beier,GER,FWDF,Hoffenheim,Bundesliga,17,26.59217957
John Donald,ESP,DFFW,Elche,La Liga,19,26.58384578
Sergio Asenjo,ESP,GK,Villarreal,La Liga,31,26.5771507
Raúl Navas,ESP,DF,Osasuna,La Liga,32,26.56495728
Kyle Walker,ENG,DF,Manchester City,Premier League,30,26.55021035
Luca Mack,GER,MF,Stuttgart,Bundesliga,20,26.53292098
Oriol Rey,ESP,MF,Valladolid,La Liga,22,26.52414206
Petar Mićin,SRB,MF,Udinese,Seria A,21,26.50924072
Philipp Pentke,GER,GK,Hoffenheim,Bundesliga,35,26.47679482
Sekou Mara,FRA,FW,Bordeaux,Ligue 1,18,26.44593757
Sergi García,ESP,MF,Alavés,La Liga,21,26.44042075
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,28,26.41336942
Édgar Badía,ESP,GK,Elche,La Liga,28,26.403068
Erwan Belhadji,FRA,MF,Dijon,Ligue 1,19,26.39365313
Marwin Hitz,SUI,GK,Dortmund,Bundesliga,32,26.37159719
Federico Marchetti,ITA,GK,Genoa,Seria A,37,26.36598884
Radosław Majecki,POL,GK,Monaco,Ligue 1,20,26.35489358
Louis Beyer,GER,DF,M'Gladbach,Bundesliga,20,26.35058724
Augusto Fernández,ARG,MF,Cádiz,La Liga,34,26.34320398
Álvaro Fernández,ESP,GK,Huesca,La Liga,22,26.31649574
Rubén Blanco,ESP,GK,Celta Vigo,La Liga,25,26.30247901
Miguel Rodríguez,ESP,FWMF,Celta Vigo,La Liga,17,26.28360359
Davide Angelo Ghislandi,ITA,DF,Atalanta,Seria A,19,26.21165336
Neto,BRA,GK,Barcelona,La Liga,31,26.18911124
Sami Khedira,GER,MF,Hertha BSC,Bundesliga,33,26.15644781
Pablo Insua,ESP,DF,Huesca,La Liga,26,26.13895479
Andreas Luthe,GER,GK,Union Berlin,Bundesliga,33,26.085933
Sergio Postigo,ESP,DF,Levante,La Liga,31,26.0796503
John Joe,IRL,MFDF,Getafe,La Liga,16,26.07910512
Benjamin Lecomte,FRA,GK,Monaco,Ligue 1,29,26.05579401
Roman Bürki,SUI,GK,Dortmund,Bundesliga,29,26.03252539
Mauro Icardi,ARG,FW,Paris S-G,Ligue 1,27,26.02372948
Jacob Barrett Laursen,DEN,DF,Arminia,Bundesliga,25,26.02305427
Dale Stephens,ENG,MF,Burnley,Premier League,31,26.01120625
Mateu Morey,ESP,DF,Dortmund,Bundesliga,20,26.008216
Mateo Musacchio,ARG,DF,Lazio,Seria A,29,26.00415079
Christian Oliva,URU,MF,Cagliari,Seria A,24,25.95823273
Tobias Sippel,GER,GK,M'Gladbach,Bundesliga,32,25.95169347
Odion Ighalo,NGA,FW,Manchester Utd,Premier League,31,25.94757465
Karlo Letica,CRO,GK,Sampdoria,Seria A,23,25.9246215
Carlo Pinsoglio,ITA,GK,Juventus,Seria A,30,25.91422741
Federico Ravaglia,ITA,GK,Bologna,Seria A,20,25.9136875
Romain Salin,FRA,GK,Rennes,Ligue 1,36,25.88915059
Ruben Loftus-Cheek,ENG,FW,Chelsea,Premier League,24,25.88285016
Pau López,ESP,GK,Roma,Seria A,25,25.874814
Francis Coquelin,FRA,MF,Villarreal,La Liga,29,25.83788771
Luka Jović,SRB,FWMF,Real Madrid,La Liga,22,25.82335004
Pavao Pervan,AUT,GK,Wolfsburg,Bundesliga,32,25.79830393
Ralf Fährmann,GER,GK,Schalke 04,Bundesliga,31,25.78602018
Stephane Keller,CMR,DF,Alavés,La Liga,18,25.73828914
Ridle Baku,GER,DF,Mainz 05,Bundesliga,22,25.71123436
Jordan Pickford,ENG,GK,Everton,Premier League,26,25.70567047
Oleksandr Zinchenko,UKR,DF,Manchester City,Premier League,23,25.70198724
Urko González,ESP,MF,Real Sociedad,La Liga,19,25.66372554
Yunus Mallı,TUR,MF,Wolfsburg,Bundesliga,28,25.66306773
Tim Siersleben,GER,DF,Wolfsburg,Bundesliga,20,25.62044165
Andrea Danzi,ITA,MFDF,Hellas Verona,Seria A,21,25.61177647
Maxime Le Marchand,FRA,DF,Fulham,Premier League,30,25.59007391
Riccardo Calafiori,ITA,DF,Roma,Seria A,18,25.54558307
Josip Stanišić,CRO,DF,Bayern Munich,Bundesliga,20,25.52510692
Valentin Antov,BUL,DF,Bologna,Seria A,19,25.48444994
Jonjoe Kenny,ENG,DFFW,Everton,Premier League,23,25.48391784
Vanja Milinković-Savić,SRB,GK,Torino,Seria A,23,25.47737458
Łukasz Skorupski,POL,GK,Bologna,Seria A,29,25.46069158
Sacha Boey,FRA,DF,Rennes,Ligue 1,19,25.4469008
Flavius Daniliuc,AUT,DF,Nice,Ligue 1,19,25.43856023
Mamadou Fofana,MLI,MFDF,Metz,Ligue 1,22,25.42363846
Marc-André ter Stegen,GER,GK,Barcelona,La Liga,28,25.40655592
Alexander Nübel,GER,GK,Bayern Munich,Bundesliga,23,25.39777684
Andi Zeqiri,SUI,FWDF,Brighton,Premier League,21,25.39443787
Frederik Sørensen,DEN,DFMF,Köln,Bundesliga,28,25.39019367
Yoel,ESP,GK,Eibar,La Liga,31,25.32522715
Marco Festa,ITA,GK,Crotone,Seria A,28,25.31397922
Adrien Louveau,FRA,DF,Lens,Ligue 1,20,25.27542774
Bernd Leno,GER,GK,Arsenal,Premier League,28,25.27078215
Cárdenas,ESP,GK,Levante,La Liga,23,25.22094478
Dimitry Bertaud,FRA,GK,Montpellier,Ligue 1,22,25.20210364
Ron-Robert Zieler,GER,GK,Köln,Bundesliga,31,25.18094026
Paolo Bartolomei,ITA,MF,Spezia,Seria A,30,25.17409072
Jorge Meré,ESP,DF,Köln,Bundesliga,23,25.15927646
Adrián,ESP,GK,Liverpool,Premier League,33,25.11975094
Rober,ESP,DFMF,Levante,La Liga,25,25.10459894
Faouzi Ghoulam,ALG,DFFW,Napoli,Seria A,29,25.06413342
Josuha Guilavogui,FRA,MFDF,Wolfsburg,Bundesliga,29,24.93250037
Mateo Musacchio,ARG,DF,Milan,Seria A,29,24.93161984
Marcin Bułka,POL,GK,Paris S-G,Ligue 1,20,24.91810005
Phil Bardsley,SCO,DF,Burnley,Premier League,35,24.83493631
Aleksandr Kokorin,RUS,FWMF,Fiorentina,Seria A,29,24.8292497
Aritz Arambarri,ESP,DF,Real Sociedad,La Liga,22,24.81886473
Fraser Hornby,SCO,FW,Reims,Ligue 1,20,24.81505669
Isma Ruiz,ESP,MF,Granada,La Liga,19,24.78145176
James Tomkins,ENG,DF,Crystal Palace,Premier League,31,24.76591065
Antonio Mirante,ITA,GK,Roma,Seria A,37,24.76546803
Edgar Sevikyan,RUS,MF,Levante,La Liga,18,24.75930822
Javi Sánchez,ESP,DF,Valladolid,La Liga,23,24.72088337
Francesco Acerbi,ITA,DF,Lazio,Seria A,32,24.71891805
Rune Jarstein,NOR,GK,Hertha BSC,Bundesliga,35,24.70410569
Heriberto Tavares,POR,MFFW,Brest,Ligue 1,23,24.68145182
Klauss,BRA,FWDF,Hoffenheim,Bundesliga,23,24.63464788
Sergio González,ESP,MFDF,Cádiz,La Liga,23,24.63394862
Pedro Alcalá,ESP,DF,Cádiz,La Liga,31,24.60079709
Michael Hector,JAM,DF,Fulham,Premier League,28,24.55099404
Emerson Palmieri,ITA,DF,Chelsea,Premier League,25,24.5213825
Miguel Atienza,ESP,MF,Eibar,La Liga,21,24.52079624
Brian Behrendt,GER,DF,Arminia,Bundesliga,28,24.45835917
Ricard,ESP,DF,Atlético Madrid,La Liga,20,24.44862609
Márk Kosznovszky,HUN,MF,Parma,Seria A,18,24.41776862
Djibril Sidibé,FRA,DF,Monaco,Ligue 1,28,24.3543339
Ederson,BRA,GK,Manchester City,Premier League,26,24.35207405
Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,18,24.31919134
Bandiougou Fadiga,FRA,MF,Brest,Ligue 1,19,24.28737424
Luismi,ESP,MFDF,Elche,La Liga,28,24.24404578
Theo Corbeanu,CAN,FW,Wolves,Premier League,18,24.22717044
Emil Audero,ITA,GK,Sampdoria,Seria A,23,24.2221853
Marco Höger,GER,DFMF,Köln,Bundesliga,30,24.18345563
Borja Mayoral,ESP,FW,Roma,Seria A,23,24.10134125
Gabriel Veiga,ESP,MFDF,Celta Vigo,La Liga,18,24.10063307
Walter Benítez,ARG,GK,Nice,Ligue 1,27,24.07944679
William Smallbone,IRL,MF,Southampton,Premier League,20,24.00446197
Tachi,ESP,DF,Alavés,La Liga,22,24.00386918
Mattia Perin,ITA,GK,Genoa,Seria A,27,23.99073149
Stefano Denswil,NED,DF,Bologna,Seria A,27,23.98091818
Matthew Longstaff,ENG,MF,Newcastle Utd,Premier League,20,23.95675178
Javi Moyano,ESP,DF,Valladolid,La Liga,34,23.93591846
Chimuanya Ugochukwu,FRA,MF,Rennes,Ligue 1,16,23.92300085
Ionuț Radu,ROU,GK,Inter,Seria A,23,23.91069918
Rekeem Harper,ENG,MF,West Brom,Premier League,20,23.87129254
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,31,23.8687863
Jake Vokins,ENG,DF,Southampton,Premier League,20,23.86139613
Ebrima Darboe,GAM,MF,Roma,Seria A,19,23.85646843
Florian Müller,GER,GK,Freiburg,Bundesliga,22,23.82692077
Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,28,23.82662867
Aitor Fernández,ESP,GK,Levante,La Liga,29,23.75028131
Nassim Chadli,FRA,FWMF,Nîmes,Ligue 1,19,23.72037297
Vito Mannone,ITA,GK,Monaco,Ligue 1,32,23.69747317
Percy Tau,RSA,FWMF,Brighton,Premier League,26,23.68118319
Pepe Reina,ESP,GK,Lazio,Seria A,37,23.67941103
Thiago Silva,BRA,DF,Chelsea,Premier League,35,23.62058851
Emiliano Martínez,ARG,GK,Aston Villa,Premier League,27,23.60939456
Nico Schulz,GER,DF,Dortmund,Bundesliga,27,23.58966889
Luiz Felipe,BRA,DF,Lazio,Seria A,23,23.58011319
Niklas Tauer,GER,MFDF,Mainz 05,Bundesliga,19,23.55316095
Bilal Benkhedim,FRA,FW,Saint-Étienne,Ligue 1,19,23.52674193
Demarai Gray,ENG,FW,Leicester City,Premier League,24,23.52504658
Mamadou Sakho,FRA,DF,Crystal Palace,Premier League,30,23.51633181
Habib Keita,MLI,MF,Lyon,Ligue 1,18,23.48450026
Samir Handanović,SVN,GK,Inter,Seria A,36,23.46584161
Alessandro Di Pardo,ITA,MFDF,Juventus,Seria A,21,23.46104717
Abdallahi Mahmoud,MTN,MF,Alavés,La Liga,20,23.45887641
Fabian Delph,ENG,MFDF,Everton,Premier League,30,23.44632471
Luisinho,POR,DF,Huesca,La Liga,35,23.38876257
Rafał Gikiewicz,POL,GK,Augsburg,Bundesliga,32,23.3838085
Bouna Sarr,SEN,DF,Bayern Munich,Bundesliga,28,23.37895002
Manuel Locatelli,ITA,MF,Sassuolo,Seria A,22,23.36501908
Kiko Casilla,ESP,GK,Leeds United,Premier League,33,23.35115135
Niccolò Manfredini,ITA,GK,Benevento,Seria A,32,23.26538135
Sacha Delaye,FRA,MF,Montpellier,Ligue 1,18,23.24428295
Dante,BRA,DF,Nice,Ligue 1,36,23.24083507
Alfred Gomis,SEN,GK,Rennes,Ligue 1,26,23.22188593
Nikola Maksimović,SRB,DF,Napoli,Seria A,28,23.22091105
Loris Mouyokolo,CGO,DF,Lorient,Ligue 1,19,23.21613646
Alberto Paleari,ITA,GK,Genoa,Seria A,27,23.1770106
Baptiste Reynet,FRA,GK,Nîmes,Ligue 1,29,23.16162157
Christophe Hérelle,MTQ,DF,Brest,Ligue 1,27,23.16002343
Ismael Aaneba,FRA,FWDF,Strasbourg,Ligue 1,21,23.1510462
Marco Bertini,ITA,MF,Lazio,Seria A,17,23.1510462
Nathaniel Phillips,ENG,DF,Liverpool,Premier League,23,23.14409847
Adrián Marín,ESP,DFMF,Alavés,La Liga,23,23.14164717
Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,21,23.12775729
Tomáš Vaclík,CZE,GK,Sevilla,La Liga,31,23.12606619
Jesús Vallejo,ESP,DF,Granada,La Liga,23,23.12222818
Iñigo Córdoba,ESP,MF,Alavés,La Liga,23,23.11470102
Alex Cordaz,ITA,GK,Crotone,Seria A,37,23.11313896
Fede San Emeterio,ESP,MF,Valladolid,La Liga,23,23.10236805
Edouard Mendy,SEN,GK,Chelsea,Premier League,28,23.09699811
Tristan Dingomé,CMR,MF,Reims,Ligue 1,29,23.0916669
Edoardo Vergani,ITA,FW,Bologna,Seria A,19,23.08601103
Lautaro Valenti,ARG,DF,Parma,Seria A,21,23.08301293
Hamza Mendyl,MAR,FWDF,Schalke 04,Bundesliga,22,23.05610226
Ander Herrera,ESP,MF,Paris S-G,Ligue 1,30,23.02617718
Jesé,ESP,FW,Paris S-G,Ligue 1,27,22.99791107
Cenk Tosun,TUR,FW,Everton,Premier League,29,22.98666544
Danilo,BRA,DF,Juventus,Seria A,29,22.96603671
Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,34,22.95816202
Jonathan Tah,GER,DF,Leverkusen,Bundesliga,24,22.9260472
Marcel Halstenberg,GER,DF,RB Leipzig,Bundesliga,28,22.91541334
Nolan Roux,FRA,FW,Nîmes,Ligue 1,32,22.87669678
Timo Horn,GER,GK,Köln,Bundesliga,27,22.86283581
Luigi Sepe,ITA,GK,Parma,Seria A,29,22.83473579
Daniel Fuzato,BRA,GK,Roma,Seria A,23,22.75641321
Habib Diallo,SEN,FW,Metz,Ligue 1,25,22.74797867
Daniele Rugani,ITA,DF,Cagliari,Seria A,26,22.68953176
Tim Maciejewski,GER,MF,Union Berlin,Bundesliga,19,22.66041311
Dominik Kohr,GER,MFFW,Eint Frankfurt,Bundesliga,26,22.65041629
Jessy Moulin,FRA,GK,Saint-Étienne,Ligue 1,34,22.60148839
José Antonio Miranda,EQG,MFDF,Getafe,La Liga,22,22.54019688
Miguel Gutiérrez,ESP,DF,Real Madrid,La Liga,19,22.53158644
Jorginho,ITA,MF,Chelsea,Premier League,28,22.5182828
Michael Obafemi,IRL,FW,Southampton,Premier League,20,22.50965286
Salvatore Sirigu,ITA,GK,Torino,Seria A,33,22.49199525
Dan-Axel Zagadou,FRA,DF,Dortmund,Bundesliga,21,22.48716816
Lorenzo Montipò,ITA,GK,Benevento,Seria A,24,22.48347854
Víctor Ruiz,ESP,DF,Betis,La Liga,31,22.4163922
Florian Flick,GER,MF,Schalke 04,Bundesliga,20,22.41603387
Jan Luca Schuler,GER,FW,Schalke 04,Bundesliga,21,22.35299941
Nishan Burkart,SUI,MF,Freiburg,Bundesliga,20,22.32949015
Sidnei Tavares,POR,MF,Leicester City,Premier League,18,22.30256053
Gregor Kobel,SUI,GK,Stuttgart,Bundesliga,22,22.28750229
Fikayo Tomori,ENG,DF,Chelsea,Premier League,22,22.27708382
Bingourou Kamara,SEN,GK,Strasbourg,Ligue 1,23,22.25965205
Iván Villar,ESP,GK,Celta Vigo,La Liga,23,22.25797983
Alfred Gomis,SEN,GK,Dijon,Ligue 1,26,22.24396036
Marco Sportiello,ITA,GK,Atalanta,Seria A,28,22.20988688
Juan Brunet,ARG,MF,Granada,La Liga,22,22.18248976
Kamil Grosicki,POL,FWMF,West Brom,Premier League,32,22.16577745
Sidnei,BRA,DF,Betis,La Liga,30,22.15103918
Samir Ujkani,KVX,GK,Torino,Seria A,32,22.13953699
Jordan Holsgrove,SCO,MF,Celta Vigo,La Liga,20,22.08623998
Marc Cardona,ESP,FWMF,Osasuna,La Liga,25,22.08384057
Panagiotis Retsos,GRE,DF,Saint-Étienne,Ligue 1,21,22.07108945
Pablo Marí,ESP,DF,Arsenal,Premier League,26,22.06867318
Finn Dahmen,GER,GK,Mainz 05,Bundesliga,22,22.03960429
Aridane Hernández,EQG,DF,Osasuna,La Liga,31,22.03796757
Marvin Tshibuabua,FRA,DF,Saint-Étienne,Ligue 1,18,22.03096769
Unai García,ESP,DF,Osasuna,La Liga,28,21.93308575
Joel Mumbongo,SWE,FW,Burnley,Premier League,21,21.92861151
